  Time (s)  Ambient (°C)     Wind (m/s)  Irradiance (W/m^2)     Tank (°C)       Water (Tank) (°C)    Pipe (To Panel) (°C)   Water (To Panel) (°C)        Solar Panel (°C)       Pipe (Panel) (°C)      Water (Panel) (°C)     Pipe (To Tank) (°C)    Water (To Tank) (°C)
         0         25.20           0.33              800.00         15.50                   15.50                   15.50                   15.50                   15.50                   15.50                   15.50                   15.50                   15.50
         5         25.18           0.33              808.33         15.89                   15.55                   15.76                   15.70                   15.51                   15.58                   15.56                   15.77                   15.70
        10         25.17           0.33              816.67         16.27                   15.60                   15.81                   15.75                   15.52                   15.65                   15.64                   15.85                   15.78
        15         25.15           0.33              825.00         16.64                   15.65                   15.86                   15.80                   15.54                   15.72                   15.70                   15.91                   15.85
        20         25.13           0.33              833.33         17.01                   15.70                   15.91                   15.85                   15.55                   15.77                   15.76                   15.97                   15.91
        25         25.12           0.33              841.67         17.36                   15.75                   15.96                   15.90                   15.56                   15.82                   15.81                   16.03                   15.96
        30         25.10           0.33              850.00         17.71                   15.79                   16.01                   15.95                   15.57                   15.88                   15.86                   16.08                   16.02
        35         25.08           0.33              858.33         18.05                   15.84                   16.06                   15.99                   15.59                   15.92                   15.91                   16.13                   16.07
        40         25.07           0.33              866.67         18.38                   15.88                   16.10                   16.04                   15.60                   15.97                   15.96                   16.18                   16.11
        45         25.05           0.33              875.00         18.70                   15.93                   16.15                   16.08                   15.61                   16.02                   16.01                   16.23                   16.16
        50         25.03           0.33              883.33         19.02                   15.97                   16.19                   16.13                   15.63                   16.06                   16.05                   16.27                   16.21
        55         25.02           0.33              891.67         19.33                   16.01                   16.24                   16.17                   15.64                   16.11                   16.10                   16.32                   16.25
        60         25.00           0.33              900.00         19.63                   16.05                   16.28                   16.21                   15.65                   16.15                   16.14                   16.37                   16.30
